lon;lat;species;reference;ocean
-80.172117;25.744931;Ophiothela mirabilis;Glynn et al., 2019;Atlantic
-80.155289;25.725575;Ophiothela mirabilis;Glynn et al., 2019;Atlantic
-80.108067;26.040825;Ophiothela mirabilis;Glynn et al., 2019;Atlantic
-80.107369;26.0519;Ophiothela mirabilis;Glynn et al., 2019;Atlantic
-61.2661;13.1783;Ophiothela mirabilis;Hendler et al., 2012;Atlantic
-61.2496;13.1703;Ophiothela mirabilis;Hendler et al., 2012;Atlantic
-60.858361;14.775722;Ophiothela mirabilis;Ferry et al., 2020;Atlantic
-60.856028;14.685417;Ophiothela mirabilis;Ferry et al., 2020;Atlantic
-60.855722;14.771778;Ophiothela mirabilis;Ferry et al., 2020;Atlantic
-60.8411;11.1553;Ophiothela mirabilis;Hendler and Brugneaux 2013;Atlantic
-60.809528;14.645222;Ophiothela mirabilis;Ferry et al., 2020;Atlantic
-60.795139;14.626;Ophiothela mirabilis;Ferry et al., 2020;Atlantic
-60.5186;11.3007;Ophiothela mirabilis;Hendler and Brugneaux 2013;Atlantic
-60.5017;11.2957;Ophiothela mirabilis;Hendler and Brugneaux 2013;Atlantic
-51.9586;4.9268;Ophiothela mirabilis;Hendler and Brugneaux 2013;Atlantic
-48.6376;-26.2334;Ophiothela mirabilis;Lawley et al., 2018;Atlantic
-48.5227;-26.3838;Ophiothela mirabilis;Lawley et al., 2018;Atlantic
-48.406306;-25.413806;Ophiothela mirabilis;Bumbeer and Rocha 2016;Atlantic
-48.368007;-25.73501;Ophiothela mirabilis;Bumbeer and Rocha 2016;Atlantic
-48.3669;-27.293;Ophiothela mirabilis;Present study;Atlantic
-48.364339;-25.551974;Ophiothela mirabilis;Bumbeer and Rocha 2016;Atlantic
-48.333485;-25.783381;Ophiothela mirabilis;Bumbeer and Rocha 2016;Atlantic
-48.3206;-25.583;Ophiothela mirabilis;Bumbeer and Rocha 2016;Atlantic
-48.3161;-25.5748;Ophiothela mirabilis;Hendler et al., 2012;Atlantic
-46.296293;-24.025718;Ophiothela mirabilis;Hendler et al., 2012;Atlantic
-45.402778;-23.822222;Ophiothela mirabilis;Alitto et al., 2016;Atlantic
-45.400833;-23.813889;Ophiothela mirabilis;Alitto et al., 2016;Atlantic
-45.400278;-23.819722;Ophiothela mirabilis;Alitto et al., 2016;Atlantic
-45.398333;-23.817222;Ophiothela mirabilis;Alitto et al., 2016;Atlantic
-44.659382;-0.606031;Ophiothela mirabilis;Moura et al., 2016;Atlantic
-44.236067;-23.083403;Ophiothela mirabilis;Mantellato et al., 2016;Atlantic
-44.1925;-23.104;Ophiothela mirabilis;Mantellato et al., 2016;Atlantic
-44.1542;-23.1344;Ophiothela mirabilis;Mantellato et al., 2016;Atlantic
-44.151075;-23.133635;Ophiothela mirabilis;Mantellato et al., 2016;Atlantic
-44.1491;-23.1303;Ophiothela mirabilis;Mantellato et al., 2016;Atlantic
-43.0854;-22.9856;Ophiothela mirabilis;Hendler et al., 2012;Atlantic
-42;-22.976389;Ophiothela mirabilis;Ribeiro et al., 2017;Atlantic
-40.250217;-20.354489;Ophiothela mirabilis;Hendler et al., 2012;Atlantic
-38.783333;-3.53333;Ophiothela mirabilis;Araújo et al., 2018;Atlantic
-38.5329;-13.0093;Ophiothela mirabilis;Hendler et al., 2012;Atlantic
-34.8349;-8.0803;Ophiothela mirabilis;Mantellato et al., 2016;Atlantic
-62.631111;17.228333;Ophiothela mirabilis;Rich et al., 2020;Atlantic
-83.740965;9.112481;Ophiothela mirabilis;Alvarado and Fernández, 2005;Pacific
-83.756954;9.144282;Ophiothela mirabilis;Alvarado and Fernández, 2005;Pacific
-83.622778;8.783056;Ophiothela mirabilis;Azofeifa-Solano et al., 2017;Pacific
-77.690997;6.830393;Ophiothela mirabilis;González et al., 2020;Pacific
-77.540438;6.688638;Ophiothela mirabilis;González et al., 2020;Pacific
-77.500796;6.645237;Ophiothela mirabilis;González et al., 2020;Pacific
-77.435885;6.69729;Ophiothela mirabilis;González et al., 2020;Pacific
-77.47497;6.304344;Ophiothela mirabilis;González et al., 2020;Pacific
-77.309527;5.894226;Ophiothela mirabilis;González et al., 2020;Pacific
-77.297632;5.826319;Ophiothela mirabilis;González et al., 2020;Pacific
-77.386634;5.628093;Ophiothela mirabilis;González et al., 2020;Pacific
-77.487622;5.616987;Ophiothela mirabilis;González et al., 2020;Pacific
-77.498;5.599268;Ophiothela mirabilis;González et al., 2020;Pacific
-77.533828;5.496468;Ophiothela mirabilis;González et al., 2020;Pacific
-101.622364;17.653881;Ophiothela mirabilis;Granja-Fernández and Lopez-Perez, 2011;Pacific
-101.620689;17.650117;Ophiothela mirabilis;Granja-Fernández and Lopez-Perez, 2011;Pacific
-101.609464;17.632706;Ophiothela mirabilis;Granja-Fernández and Lopez-Perez, 2011;Pacific
